ind,PDB_chain,LIG,ro_label,lo_label,pLin_F9,conf_id,conf_rank
0,7S7A_A,8FI,1,1,7.677411884031,1,1
0,7S7A_A,8FI,1,1,7.451902950746,1,2
0,7S7A_A,8FI,1,1,7.2824262134188,1,3
0,7S7A_A,8FI,1,1,7.272398730308,1,4
0,7S7A_A,8FI,1,1,7.0035054698660995,1,5
0,7S7A_A,8FI,1,1,6.9906267790971,1,6
0,7S7A_A,8FI,1,1,6.8523832048841,1,7
0,7S7A_A,8FI,1,1,6.8180533203389,1,8
0,7S7A_A,8FI,1,1,6.781338111643899,1,9
0,7S7A_A,8FI,1,1,7.6766619638549995,2,1
0,7S7A_A,8FI,1,1,7.613397571167,2,2
0,7S7A_A,8FI,1,1,7.3255874129177005,2,3
0,7S7A_A,8FI,1,1,7.0387048407922,2,4
0,7S7A_A,8FI,1,1,6.9893788485507,2,5
0,7S7A_A,8FI,1,1,6.9649232577298,2,6
0,7S7A_A,8FI,1,1,6.406442409396099,2,7
0,7S7A_A,8FI,1,1,6.391535838824099,2,8
0,7S7A_A,8FI,1,1,6.2863490378982005,2,9
0,7S7A_A,8FI,1,1,7.660516602022001,3,1
0,7S7A_A,8FI,1,1,7.622361772504,3,2
0,7S7A_A,8FI,1,1,7.3130857653483,3,3
0,7S7A_A,8FI,1,1,7.0928777349537,3,4
0,7S7A_A,8FI,1,1,6.936543414725,3,5
0,7S7A_A,8FI,1,1,6.6780560742245,3,6
0,7S7A_A,8FI,1,1,6.6680950453077,3,7
0,7S7A_A,8FI,1,1,6.436606004727199,3,8
0,7S7A_A,8FI,1,1,6.1435705370669,3,9
1,8FOW_A,8FI,1,1,8.011964007931,1,1
1,8FOW_A,8FI,1,1,7.937010718603,1,2
1,8FOW_A,8FI,1,1,7.447332354509,1,3
1,8FOW_A,8FI,1,1,7.3977831979349995,1,4
1,8FOW_A,8FI,1,1,7.395125763665,1,5
1,8FOW_A,8FI,1,1,6.9506007799146,1,6
1,8FOW_A,8FI,1,1,6.8177189589224,1,7
1,8FOW_A,8FI,1,1,6.7821684296588,1,8
1,8FOW_A,8FI,1,1,6.6471139232678,1,9
1,8FOW_A,8FI,1,1,7.991571152206,2,1
1,8FOW_A,8FI,1,1,7.914774015716,2,2
1,8FOW_A,8FI,1,1,7.477823973903,2,3
1,8FOW_A,8FI,1,1,7.423692338554,2,4
1,8FOW_A,8FI,1,1,7.2768112447802,2,5
1,8FOW_A,8FI,1,1,6.899716986941299,2,6
1,8FOW_A,8FI,1,1,6.7981039766773,2,7
1,8FOW_A,8FI,1,1,6.6341820691436,2,8
1,8FOW_A,8FI,1,1,6.5425265963840005,2,9
1,8FOW_A,8FI,1,1,7.9513128934149995,3,1
1,8FOW_A,8FI,1,1,7.868465711358,3,2
1,8FOW_A,8FI,1,1,7.503251945082,3,3
1,8FOW_A,8FI,1,1,7.39224864914,3,4
1,8FOW_A,8FI,1,1,7.364816636583,3,5
1,8FOW_A,8FI,1,1,7.3063655666428,3,6
1,8FOW_A,8FI,1,1,7.0713230163989,3,7
1,8FOW_A,8FI,1,1,6.975177389250599,3,8
1,8FOW_A,8FI,1,1,6.8981871541832,3,9
